runtime,model,precision,alpha,similarity
386.376726,medium,single,0.1,Tfunction
7647.977684,medium,single,0.1,euclidean
7577.542867,medium,single,0.1,squaredeuclidean
7600.760676,medium,single,0.1,seuclidean
7753.603329,medium,single,0.1,cityblock
7369.587292,medium,single,0.1,chebychev
5603.379059,medium,single,0.1,cosine
5763.36355,medium,single,0.1,correlation
198.617342,medium,single,0.2,Tfunction
4376.041636,medium,single,0.2,euclidean
4348.007829,medium,single,0.2,squaredeuclidean
4428.67436,medium,single,0.2,seuclidean
4475.190908,medium,single,0.2,cityblock
4348.673396,medium,single,0.2,chebychev
2777.725051,medium,single,0.2,cosine
2716.228413,medium,single,0.2,correlation
148.446676,medium,single,0.3,Tfunction
2892.136651,medium,single,0.3,euclidean
2201.14236,medium,single,0.3,squaredeuclidean
2290.006306,medium,single,0.3,seuclidean
2888.530141,medium,single,0.3,cityblock
2846.628544,medium,single,0.3,chebychev
1663.3553,medium,single,0.3,cosine
1760.581557,medium,single,0.3,correlation
786.706923,medium,double,0.1,Tfunction
22693.370114,medium,double,0.1,euclidean
22325.181528,medium,double,0.1,squaredeuclidean
22396.089738,medium,double,0.1,seuclidean
22510.91962,medium,double,0.1,cityblock
21906.773615,medium,double,0.1,chebychev
9377.778639,medium,double,0.1,cosine
9647.11425,medium,double,0.1,correlation
421.461457,medium,double,0.2,Tfunction
10061.667029,medium,double,0.2,euclidean
10192.251198,medium,double,0.2,squaredeuclidean
10296.900646,medium,double,0.2,seuclidean
10719.190599,medium,double,0.2,cityblock
10664.125786,medium,double,0.2,chebychev
4493.638221,medium,double,0.2,cosine
4440.782461,medium,double,0.2,correlation
308.204401,medium,double,0.3,Tfunction
6929.701869,medium,double,0.3,euclidean
5905.194363,medium,double,0.3,squaredeuclidean
6291.470962,medium,double,0.3,seuclidean
6321.880515,medium,double,0.3,cityblock
6655.508555,medium,double,0.3,chebychev
2804.621981,medium,double,0.3,cosine
2846.132727,medium,double,0.3,correlation
1.857273,small,single,0.1,Tfunction
11.730725,small,single,0.1,euclidean
11.598093,small,single,0.1,squaredeuclidean
12.194093,small,single,0.1,seuclidean
11.655551,small,single,0.1,cityblock
8.533414,small,single,0.1,chebychev
7.940174,small,single,0.1,cosine
8.831729,small,single,0.1,correlation
0.980204,small,single,0.2,Tfunction
5.738382,small,single,0.2,euclidean
5.533389,small,single,0.2,squaredeuclidean
5.884843,small,single,0.2,seuclidean
5.735376,small,single,0.2,cityblock
4.011596,small,single,0.2,chebychev
4.001205,small,single,0.2,cosine
4.05891,small,single,0.2,correlation
0.666977,small,single,0.3,Tfunction
3.739346,small,single,0.3,euclidean
3.560141,small,single,0.3,squaredeuclidean
3.780578,small,single,0.3,seuclidean
3.551331,small,single,0.3,cityblock
2.772975,small,single,0.3,chebychev
2.511106,small,single,0.3,cosine
2.687781,small,single,0.3,correlation
3.254789,small,double,0.1,Tfunction
12.896685,small,double,0.1,euclidean
12.596121,small,double,0.1,squaredeuclidean
13.683889,small,double,0.1,seuclidean
12.569436,small,double,0.1,cityblock
9.630967,small,double,0.1,chebychev
13.744156,small,double,0.1,cosine
15.68117,small,double,0.1,correlation
1.81763,small,double,0.2,Tfunction
6.214063,small,double,0.2,euclidean
5.991604,small,double,0.2,squaredeuclidean
6.645949,small,double,0.2,seuclidean
6.26315,small,double,0.2,cityblock
4.868664,small,double,0.2,chebychev
6.694601,small,double,0.2,cosine
7.138326,small,double,0.2,correlation
1.213127,small,double,0.3,Tfunction
4.088953,small,double,0.3,euclidean
3.821484,small,double,0.3,squaredeuclidean
4.320364,small,double,0.3,seuclidean
3.907989,small,double,0.3,cityblock
3.216291,small,double,0.3,chebychev
4.25826,small,double,0.3,cosine
4.517753,small,double,0.3,correlation
